city,Casos,Óbitos
João Pessoa,30597,933.0
Campina Grande,13486,397.0
Patos,4637,89.0
Guarabira,4567,72.0
Santa Rita,3466,156.0
São Bento,3203,35.0
Cabedelo,3032,75.0
Mamanguape,2662,41.0
Sousa,2347,41.0
Cajazeiras,2260,47.0
Bayeux,2005,107.0
Alagoa Grande,1644,28.0
Ingá,1523,21.0
Queimadas,1387,18.0
Pedras de Fogo,1367,33.0
Sapé,1197,57.0
Mari,1182,23.0
Itabaiana,1179,22.0
Rio Tinto,1172,28.0
Belém,1115,16.0
Alagoinha,1054,12.0
Itaporanga,1002,17.0
Caaporã,992,16.0
Itapororoca,952,10.0
Conde,853,15.0
Monteiro,835,10.0
Solânea,744,9.0
Lagoa Seca,728,16.0
Catolé do Rocha,701,17.0
Baía da Traição,700,7.0
Esperança,691,10.0
Alhandra,678,18.0
Pitimbu,672,9.0
Pombal,662,5.0
Sumé,631,4.0
Conceição,600,7.0
Juripiranga,585,11.0
Brejo do Cruz,577,9.0
Pilar,561,15.0
Cruz do Espírito Santo,561,20.0
Araçagi,525,6.0
Lucena,520,8.0
Areia,514,5.0
Marcação,487,4.0
São José de Piranhas,486,11.0
Caiçara,462,10.0
Gurinhém,448,9.0
Mulungu,447,10.0
Bananeiras,437,2.0
Juarez Távora,432,5.0
Boqueirão,423,7.0
São João do Rio do Peixe,417,5.0
Casserengue,416,5.0
Cuitegi,412,10.0
Picuí,396,3.0
Pirpirituba,379,3.0
Massaranduba,370,5.0
Itatuba,364,5.0
Alagoa Nova,363,9.0
Pilõezinhos,361,3.0
Cacimba de Dentro,350,7.0
Paulista,347,2.0
Mogeiro,343,6.0
Sertãozinho,339,3.0
Jacaraú,330,8.0
Caldas Brandão,328,2.0
Puxinanã,322,2.0
Remígio,321,5.0
Cuité,305,3.0
Pocinhos,302,5.0
Diamante,295,4.0
Serra Redonda,290,3.0
Santa Luzia,289,9.0
São Sebastião de Lagoa de Roça,286,3.0
Salgado de São Félix,279,2.0
Juazeirinho,276,2.0
São José do Sabugi,276,1.0
Serra Branca,270,9.0
São José dos Ramos,265,1.0
Araruna,263,8.0
Piancó,244,9.0
Mataraca,239,7.0
Riachão do Bacamarte,239,0.0
Coremas,236,6.0
Arara,236,6.0
Princesa Isabel,234,10.0
Soledade,231,1.0
Aroeiras,229,1.0
Tavares,210,2.0
Uiraúna,204,11.0
Juru,204,2.0
Teixeira,201,6.0
Serraria,197,3.0
Taperoá,193,3.0
Sobrado,193,5.0
Aparecida,186,4.0
Logradouro,172,6.0
Ibiara,168,2.0
Condado,160,5.0
Lagoa de Dentro,159,0.0
Capim,155,7.0
São Miguel de Taipu,155,5.0
Belém do Brejo do Cruz,143,2.0
Pilões,143,2.0
Baraúna,143,0.0
Boa Vista,142,1.0
São João do Cariri,140,0.0
Cachoeira dos Índios,139,7.0
Cuité de Mamanguape,136,9.0
Olivedos,131,1.0
São José da Lagoa Tapada,130,1.0
Tacima,128,3.0
Dona Inês,128,2.0
Malta,128,3.0
Fagundes,126,5.0
Triunfo,125,3.0
Junco do Seridó,124,5.0
Boa Ventura,122,2.0
Cabaceiras,122,0.0
Caturité,119,1.0
Barra de Santa Rosa,119,1.0
Gado Bravo,109,2.0
Santana dos Garrotes,108,2.0
Livramento,106,0.0
Bonito de Santa Fé,106,3.0
Nova Floresta,105,1.0
Serra da Raiz,104,1.0
Congo,103,2.0
Barra de Santana,101,3.0
Santa Inês,96,1.0
Água Branca,96,2.0
Riachão do Poço,95,2.0
Areial,94,2.0
Natuba,93,2.0
Imaculada,93,0.0
Pedra Branca,92,0.0
Bernardino Batista,91,0.0
Duas Estradas,90,1.0
Nazarezinho,90,2.0
Santa Cecília,89,0.0
Riachão,88,2.0
Desterro,88,3.0
Nova Palmeira,87,0.0
Cubati,87,1.0
São José de Caiana,87,3.0
Umbuzeiro,84,4.0
Pedro Régis,81,4.0
Matinhas,80,2.0
Serra Grande,78,1.0
Santo André,77,0.0
Brejo dos Santos,76,0.0
São Bentinho,73,0.0
Barra de São Miguel,73,1.0
Santa Teresinha,69,2.0
São José de Espinharas,69,1.0
Alcantil,69,0.0
Santa Cruz,67,2.0
Caraúbas,66,0.0
Montadas,65,1.0
Cacimbas,65,2.0
Jericó,64,3.0
São Domingos do Cariri,64,3.0
Emas,62,5.0
São Mamede,61,4.0
Carrapateira,61,0.0
São José do Brejo do Cruz,60,0.0
São José do Bonfim,59,4.0
Monte Horebe,59,0.0
Borborema,55,0.0
Curral de Cima,55,2.0
Coxixola,53,1.0
São Vicente do Seridó,49,1.0
Gurjão,48,2.0
Riacho dos Cavalos,48,4.0
São José dos Cordeiros,48,0.0
Maturéia,48,1.0
Assunção,47,0.0
Marizópolis,47,1.0
Bom Jesus,46,1.0
Damião,46,1.0
Olho d'Água,46,2.0
Santana de Mangueira,44,0.0
Pedra Lavrada,43,0.0
Tenório,43,1.0
Quixabá,41,2.0
São Francisco,40,2.0
Vista Serrana,40,2.0
Salgadinho,38,0.0
São João do Tigre,35,0.0
Cajazeirinhas,35,0.0
Riacho de Santo Antônio,34,0.0
Nova Olinda,33,0.0
Camalaú,33,0.0
Zabelê,33,0.0
Poço de José de Moura,32,0.0
Lastro,30,0.0
Passagem,30,0.0
Aguiar,29,0.0
Bom Sucesso,27,0.0
Algodão de Jandaíra,27,0.0
Santa Helena,25,0.0
Poço Dantas,25,2.0
Manaíra,24,2.0
Várzea,24,0.0
Joca Claudino,24,0.0
São Sebastião do Umbuzeiro,23,1.0
Mãe d'Água,23,0.0
Frei Martinho,21,0.0
Catingueira,20,2.0
Sossêgo,20,0.0
Mato Grosso,20,1.0
Curral Velho,19,0.0
Amparo,17,0.0
Vieirópolis,17,0.0
São José de Princesa,17,0.0
Igaracy,16,1.0
São Domingos,15,0.0
Parari,14,0.0
Areia de Baraúnas,13,0.0
Cacimba de Areia,11,0.0
Lagoa,10,1.0
Ouro Velho,9,0.0
Prata,8,2.0
