Município,SUM,Total_Aplicado,Taxa_Utilizacao
João Pessoa,70141.0,64462.0,0.91903451618882
Campina Grande,34169.0,30103.0,0.881003248558635
Patos,12719.0,12732.0,1.00102209293183
Santa Rita,10572.0,10513.0,0.994419220582671
Guarabira,10521.0,9707.0,0.922630928618953
Cajazeiras,9889.0,10463.0,1.05804429163717
Cabedelo,6766.0,5819.0,0.860035471475022
Bayeux,4828.0,5849.0,1.21147473073737
Sousa,4237.0,3711.0,0.875855558177956
São Bento,4026.0,6984.0,1.73472429210134
Mamanguape,3871.0,4578.0,1.18264014466546
Pombal,3601.0,3075.0,0.853929464037767
Pedras de Fogo,3565.0,2554.0,0.7164095371669
Caaporã,3295.0,1654.0,0.501972685887709
Catolé do Rocha,3011.0,3631.0,1.20591165725673
Conde,2921.0,2613.0,0.894556658678535
Itabaiana,2862.0,2658.0,0.928721174004193
Monteiro,2743.0,3102.0,1.13087860007291
Mari,2667.0,2660.0,0.99737532808399
Alagoa Grande,2637.0,6835.0,2.59196056124384
Queimadas,2505.0,3038.0,1.2127744510978
Esperança,2480.0,2464.0,0.993548387096774
Sapé,2470.0,3062.0,1.23967611336032
Picuí,2461.0,4275.0,1.73709874034945
Belém,2367.0,3003.0,1.26869455006337
Solânea,2088.0,2592.0,1.24137931034483
Juazeirinho,2049.0,2154.0,1.05124450951684
Alagoinha,1954.0,2097.0,1.07318321392016
Ingá,1868.0,2471.0,1.3228051391863
Santa Luzia,1858.0,2160.0,1.16254036598493
Cuité,1840.0,2762.0,1.50108695652174
São João do Rio do Peixe,1766.0,1851.0,1.04813137032843
Lagoa Seca,1734.0,1929.0,1.11245674740484
Rio Tinto,1718.0,1950.0,1.13504074505239
Itaporanga,1698.0,3736.0,2.20023557126031
São José de Piranhas,1663.0,2653.0,1.59530968129886
Piancó,1651.0,1637.0,0.991520290732889
Alhandra,1616.0,1320.0,0.816831683168317
Pilar,1577.0,2839.0,1.8002536461636
Areia,1567.0,1628.0,1.03892788768347
Pitimbu,1527.0,1028.0,0.673215455140799
Princesa Isabel,1500.0,1594.0,1.06266666666667
Remígio,1465.0,1147.0,0.782935153583618
Sumé,1415.0,1844.0,1.30318021201413
Nova Floresta,1368.0,2108.0,1.54093567251462
Soledade,1355.0,1321.0,0.974907749077491
Araçagi,1347.0,1166.0,0.865627319970304
Juripiranga,1335.0,1171.0,0.877153558052434
Serra Branca,1246.0,1425.0,1.14365971107544
Boqueirão,1225.0,1385.0,1.13061224489796
Taperoá,1204.0,1283.0,1.0656146179402
Itatuba,1186.0,1240.0,1.04553119730186
Mogeiro,1166.0,1920.0,1.64665523156089
Baía da Traição,1150.0,1391.0,1.2095652173913
Salgado de São Félix,1140.0,1338.0,1.17368421052632
Conceição,1134.0,1825.0,1.60934744268078
Gurinhém,1129.0,904.0,0.800708591674048
Pocinhos,1109.0,1290.0,1.16321009918846
Condado,1080.0,897.0,0.830555555555556
Itapororoca,1075.0,1513.0,1.40744186046512
Alagoa Nova,1064.0,1776.0,1.66917293233083
Cruz do Espírito Santo,1055.0,1546.0,1.4654028436019
Lucena,1054.0,1046.0,0.992409867172676
Coremas,1035.0,1210.0,1.16908212560386
Brejo do Cruz,1025.0,1381.0,1.34731707317073
Puxinanã,1024.0,788.0,0.76953125
Cuitegi,1014.0,891.0,0.878698224852071
Malta,1009.0,1113.0,1.10307234886026
Jacaraú,994.0,1016.0,1.02213279678068
Bananeiras,994.0,1474.0,1.48289738430584
Mulungu,959.0,1037.0,1.08133472367049
Boa Vista,949.0,1206.0,1.27081138040042
Massaranduba,929.0,1022.0,1.10010764262648
São José do Sabugi,928.0,611.0,0.658405172413793
Uiraúna,920.0,1035.0,1.125
Juarez Távora,889.0,1125.0,1.26546681664792
Arara,884.0,843.0,0.953619909502262
Aroeiras,868.0,620.0,0.714285714285714
Pilõezinhos,843.0,672.0,0.797153024911032
Barra de Santa Rosa,839.0,1494.0,1.78069129916567
Serra Redonda,833.0,715.0,0.858343337334934
Cacimba de Dentro,828.0,1066.0,1.28743961352657
Baraúna,814.0,518.0,0.636363636363636
Caiçara,814.0,751.0,0.922604422604423
Casserengue,803.0,1038.0,1.29265255292653
Nova Palmeira,794.0,763.0,0.96095717884131
Desterro,793.0,767.0,0.967213114754098
São José dos Ramos,763.0,710.0,0.930537352555701
Araruna,734.0,1298.0,1.76839237057221
Marizópolis,723.0,624.0,0.863070539419087
São Mamede,723.0,542.0,0.749654218533887
Cachoeira dos Índios,698.0,656.0,0.939828080229226
Riachão do Bacamarte,685.0,381.0,0.556204379562044
Várzea,678.0,478.0,0.705014749262537
Paulista,673.0,942.0,1.39970282317979
Teixeira,670.0,655.0,0.977611940298508
Umbuzeiro,663.0,507.0,0.764705882352941
Barra de Santana,663.0,524.0,0.790346907993967
Pirpirituba,658.0,749.0,1.13829787234043
Cubati,658.0,527.0,0.800911854103343
Água Branca,657.0,517.0,0.786910197869102
Assunção,637.0,675.0,1.0596546310832
São Sebastião de Lagoa de Roça,633.0,907.0,1.43285939968404
Pedra Lavrada,623.0,991.0,1.59069020866774
Lagoa de Dentro,613.0,1767.0,2.88254486133768
Sobrado,602.0,444.0,0.737541528239203
São Miguel de Taipu,592.0,454.0,0.766891891891892
Salgadinho,592.0,431.0,0.728040540540541
Juru,588.0,915.0,1.55612244897959
Tacima,587.0,340.0,0.579216354344123
Mataraca,583.0,622.0,1.06689536878216
Olho d'Água,583.0,445.0,0.763293310463122
Livramento,578.0,700.0,1.21107266435986
Serraria,573.0,738.0,1.28795811518325
Capim,567.0,398.0,0.701940035273369
Santana dos Garrotes,563.0,625.0,1.1101243339254
São José de Caiana,557.0,557.0,1.0
Triunfo,552.0,633.0,1.14673913043478
Riacho dos Cavalos,542.0,719.0,1.32656826568266
Tavares,537.0,707.0,1.31657355679702
Bonito de Santa Fé,537.0,569.0,1.05959031657356
Marcação,533.0,902.0,1.69230769230769
Sertãozinho,532.0,743.0,1.39661654135338
São João do Cariri,517.0,543.0,1.05029013539652
Manaíra,512.0,314.0,0.61328125
Santa Teresinha,512.0,368.0,0.71875
Gado Bravo,507.0,317.0,0.625246548323471
Logradouro,503.0,437.0,0.868787276341948
Cabaceiras,502.0,667.0,1.32868525896414
Aguiar,492.0,295.0,0.599593495934959
Pilões,492.0,359.0,0.729674796747967
Lastro,487.0,374.0,0.767967145790554
Caldas Brandão,477.0,993.0,2.08176100628931
Igaracy,472.0,272.0,0.576271186440678
Cuité de Mamanguape,462.0,341.0,0.738095238095238
São José da Lagoa Tapada,457.0,543.0,1.18818380743982
Congo,452.0,439.0,0.971238938053097
Imaculada,452.0,358.0,0.792035398230089
Dona Inês,452.0,474.0,1.04867256637168
Serra da Raiz,447.0,418.0,0.935123042505593
Maturéia,445.0,513.0,1.15280898876404
Jericó,440.0,379.0,0.861363636363636
São José do Bonfim,440.0,240.0,0.545454545454545
Frei Martinho,437.0,524.0,1.19908466819222
Natuba,432.0,316.0,0.731481481481482
Belém do Brejo do Cruz,432.0,472.0,1.09259259259259
Brejo dos Santos,432.0,484.0,1.12037037037037
Diamante,427.0,710.0,1.66276346604215
Olivedos,422.0,396.0,0.938388625592417
Caturité,422.0,329.0,0.779620853080569
Junco do Seridó,412.0,902.0,2.18932038834951
Barra de São Miguel,412.0,370.0,0.898058252427185
Caraúbas,412.0,288.0,0.699029126213592
Riachão do Poço,410.0,245.0,0.597560975609756
Curral de Cima,407.0,650.0,1.5970515970516
Alcantil,407.0,330.0,0.810810810810811
Santa Helena,405.0,301.0,0.74320987654321
Areial,402.0,369.0,0.917910447761194
Boa Ventura,400.0,237.0,0.5925
Poço de José de Moura,392.0,414.0,1.05612244897959
Catingueira,392.0,214.0,0.545918367346939
Borborema,387.0,399.0,1.03100775193798
Duas Estradas,387.0,334.0,0.863049095607235
São José de Espinharas,386.0,322.0,0.83419689119171
Ibiara,380.0,656.0,1.72631578947368
Prata,375.0,339.0,0.904
Aparecida,372.0,664.0,1.78494623655914
Matinhas,371.0,247.0,0.665768194070081
Santa Cecília,367.0,410.0,1.11716621253406
São José de Princesa,367.0,221.0,0.602179836512262
São Francisco,366.0,306.0,0.836065573770492
Cacimbas,365.0,286.0,0.783561643835616
Mãe d'Água,365.0,332.0,0.90958904109589
Sossêgo,360.0,246.0,0.683333333333333
Tenório,360.0,364.0,1.01111111111111
Amparo,355.0,215.0,0.605633802816901
Carrapateira,347.0,334.0,0.962536023054755
Fagundes,342.0,499.0,1.45906432748538
Emas,341.0,395.0,1.158357771261
Gurjão,340.0,848.0,2.49411764705882
Montadas,337.0,212.0,0.629080118694362
Pedro Régis,337.0,441.0,1.30860534124629
Nova Olinda,335.0,263.0,0.785074626865672
Riachão,330.0,307.0,0.93030303030303
Mato Grosso,330.0,184.0,0.557575757575758
Santana de Mangueira,326.0,245.0,0.751533742331288
Zabelê,326.0,245.0,0.751533742331288
Damião,316.0,354.0,1.12025316455696
Bom Sucesso,315.0,263.0,0.834920634920635
Passagem,315.0,154.0,0.488888888888889
São José dos Cordeiros,315.0,243.0,0.771428571428571
São Vicente do Seridó,311.0,279.0,0.897106109324759
Cajazeirinhas,310.0,220.0,0.709677419354839
Parari,306.0,238.0,0.777777777777778
São Bentinho,306.0,382.0,1.2483660130719
Santa Cruz,305.0,257.0,0.842622950819672
Bernardino Batista,301.0,337.0,1.11960132890365
Nazarezinho,295.0,343.0,1.16271186440678
Bom Jesus,295.0,271.0,0.91864406779661
Riacho de Santo Antônio,295.0,143.0,0.484745762711864
Santo André,291.0,455.0,1.56357388316151
Ouro Velho,290.0,275.0,0.948275862068966
São Domingos do Cariri,281.0,228.0,0.811387900355872
Cacimba de Areia,280.0,103.0,0.367857142857143
Pedra Branca,275.0,348.0,1.26545454545455
Quixabá,271.0,199.0,0.734317343173432
Vista Serrana,265.0,627.0,2.36603773584906
Algodão de Jandaíra,261.0,304.0,1.16475095785441
Coxixola,250.0,211.0,0.844
Santa Inês,246.0,286.0,1.16260162601626
Joca Claudino,245.0,194.0,0.791836734693877
Serra Grande,245.0,231.0,0.942857142857143
Poço Dantas,245.0,111.0,0.453061224489796
Camalaú,240.0,193.0,0.804166666666667
São Domingos,240.0,136.0,0.566666666666667
Monte Horebe,230.0,394.0,1.71304347826087
Areia de Baraúnas,225.0,107.0,0.475555555555556
Lagoa,220.0,65.0,0.295454545454545
Vieirópolis,220.0,83.0,0.377272727272727
São Sebastião do Umbuzeiro,215.0,212.0,0.986046511627907
Curral Velho,205.0,140.0,0.682926829268293
São José do Brejo do Cruz,200.0,190.0,0.95
