Codigo,Município/Posto,observado,climatologia,desvio_percentual,desvio
2500106,Agua Branca,48,"33,1",45,"14,9"
2500205,Aguiar,"3,9","18,5","-78,9","-14,6"
2500304,Alagoa Grande,"110,1","133,8","-17,7","-23,7"
2500403,Alagoa Nova,"149,7",167,"-10,4","-17,3"
2500502,Alagoinha,"201,7",,,
2500577,Algodão de Jandaíra,"54,5","41,2","32,3","13,3"
2500601,Alhandra,"252,9","239,2","5,7","13,7"
2500700,Amparo,"20,5",,,
2500775,Araçagi,"167,3","138,1","21,1","29,2"
2500809,Arara,"100,2",,,
2500908,Araruna,"166,3","105,8","57,2","60,5"
2501005,Areia,"190,4","191,5","-0,6","-1,1"
2501104,Areia de Baraúnas,0,,,
2501153,Areial,"93,4",,,
2501203,Aroeiras,"57,3","86,9","-34,1","-29,6"
2501302,Assunção,0,,,
2501351,Baía da Traição,"301,1",,,
2501401,Bananeiras,"216,8","148,6","45,9","68,2"
2501500,Baraúna,"65,5",,,
2501534,Barra de Santa Rosa,"51,8","33,4","55,1","18,4"
2501575,Barra de Santana,"25,8",,,
2501609,Barra de São Miguel,"9,9","32,4","-69,4","-22,5"
2501807,Belém,"169,5",,,
2501906,Belém do Brejo do Cruz,"50,5","20,5","146,3",30
2502003,Bernardino Batista,"9,3",,,
2502052,Boa Ventura,14,"27,6","-49,3","-13,6"
2502102,Boa Vista,"20,4","45,9","-55,6","-25,5"
2502151,Bom Jesus,"1,7",,,
2502201,Bom Sucesso,"53,8",,,
2502409,Boqueirão,"13,1","55,6","-76,4","-42,5"
2502508,Borborema,"205,4",,,
2502607,Brejo do Cruz,"11,8","15,6","-24,4","-3,8"
2502805,Caaporã,"292,6",,,
2502904,Cabaceiras,"10,2","33,8","-69,8","-23,6"
2503100,Cachoeira dos Índios,"1,8",,,
2503308,Cacimba de Dentro,"127,3","107,1","18,9","20,2"
2503407,Cacimbas,"14,8",,,
2503506,Caiçara,"150,4","101,7","47,9","48,7"
2503555,Cajazeiras,0,"15,5",-100,"-15,5"
2503605,Cajazeirinhas,"9,9",,,
2503704,Caldas Brandão,"178,7",,,
2503753,Camalaú,"5,3","36,2","-85,4","-30,9"
2503803,Campina Grande,"107,2","106,7","0,5","0,5"
2503902,Capim,"145,3",,,
2504009,Caraúbas,0,"17,4",-100,"-17,4"
2504033,Carrapateira,0,,,
2504074,Casserengue,"69,9","46,8","49,4","23,1"
2504108,Catingueira,"7,9","19,7","-59,9","-11,8"
