Codigo,Municipio,receita_total,despesa_total,idh,pib_per_capita,percentual_receitas_origem_externa
2500106,Água Branca,24636410.05,23228101.66,0.572,7527.81,96.5
2500205,Aguiar,18851680.17,18417051.79,0.597,8520.89,95.9
2500304,Alagoa Grande,50172093.86,49154323.07,0.582,9333.42,95.1
2500403,Alagoa Nova,41347836.5,40184922.84,0.576,10920.39,93
2500502,Alagoinha,36867875.33,32853502.94,0.595,7516.55,0
2500536,Alcantil,16433777.29,15580975.16,0.578,7693.24,96
2500577,Algodão de Jandaíra,14505788.93,12536339.16,0.548,10363.88,93.6
2500601,Alhandra,67916061.85,65129214.28,0.582,56636.11,0
2500700,Amparo,12822707.33,11568399.16,0.606,10860.62,90.7
2500734,Aparecida,18205017.16,16286962.44,0.578,8566.62,96
2500775,Araçagi,32400056.48,31923966.95,0.549,9856.48,97.1
2500809,Arara,26312693.86,23928008.04,0.548,7300.36,0
2500908,Araruna,39593812.19,38425875.95,0.567,8104.98,95.8
2501005,Areia,37908316.01,33485757.41,0.594,10216.75,0
2501104,Areia de Baraúnas,12216303.18,10960383.57,0.562,8785.47,97.7
2501153,Areial,17636061.59,14716050.65,0.608,7463.31,93.7
2501203,Aroeiras,41678766.32,38076272.69,0.548,7371.46,96.7
2501302,Assunção,14571050.44,14208010.84,0.609,9427.57,98
2501351,Baía da Traição,21052179.39,19773679.23,0.581,8798.8,93.6
2501401,Bananeiras,47274324.21,50559916.44,0.568,10987.28,87.9
2501500,Baraúna,15529729.75,13777462.05,0.558,8223.81,98.3
2501534,Barra de Santa Rosa,31669203.36,30115923.53,0.562,8270.7,92.8
2501575,Barra de Santana,21042308.37,19316183.56,0.567,7696.93,96.7
2501609,Barra de São Miguel,15110438.73,16991189.17,0.572,7788.09,96.4
2501708,Bayeux,167381086.9,170333491.8,0.649,13975.42,87.8
2501807,Belém,30581503.67,29682430.62,0.592,9641.48,90.4
2501906,Belém do Brejo do Cruz,24201671.27,24005352.71,0.578,8782.21,88.5
