Codigo,Municipio,matriculas_fundamental,matriculas_medio,docentes_fundamental,docentes_medio,num_escolas_fundamental,num_escolas_medio,percentual_escolarizacao
2500106,Água Branca,1545,383,91,31,21,1,"97,6"
2500205,Aguiar,758,172,62,17,11,1,"98,9"
2500304,Alagoa Grande,4482,954,262,78,34,3,"97,4"
2500403,Alagoa Nova,3015,620,164,38,37,1,"97,9"
2500502,Alagoinha,2214,478,111,25,13,1,"98,7"
2500536,Alcantil,753,124,47,11,7,1,"95,7"
2500577,Algodão de Jandaíra,507,97,31,9,7,1,"98,5"
2500601,Alhandra,4014,1032,244,85,25,2,"96,3"
2500700,Amparo,391,94,28,8,2,1,"98,1"
2500734,Aparecida,1162,212,84,18,14,1,"96,2"
2500775,Araçagi,2266,528,153,30,27,1,95
2500809,Arara,1821,369,105,38,15,2,"97,3"
2500908,Araruna,2829,582,192,27,28,1,"97,5"
2501005,Areia,3867,779,222,76,21,5,"97,5"
2501104,Areia de Baraúnas,246,83,25,6,7,1,"98,8"
2501153,Areial,1345,308,74,20,8,1,"98,1"
2501203,Aroeiras,3063,720,223,56,46,2,"97,9"
2501302,Assunção,749,107,47,13,8,1,99
2501351,Baía da Traição,1690,379,132,49,17,3,"98,7"
2501401,Bananeiras,3539,1304,190,137,37,4,"94,6"
2501500,Baraúna,754,213,35,13,2,1,97
2501534,Barra de Santa Rosa,1945,482,118,31,17,1,"96,9"
2501575,Barra de Santana,1240,295,93,24,20,1,"97,6"
2501609,Barra de São Miguel,763,186,56,13,4,1,"97,4"
2501708,Bayeux,12931,3875,693,288,77,15,"96,4"
2501807,Belém,2363,625,163,54,23,3,"94,7"
2501906,Belém do Brejo do Cruz,915,246,64,21,10,2,"96,4"
2502003,Bernardino Batista,622,121,44,10,4,1,"98,7"
2502052,Boa Ventura,761,141,76,14,13,1,"97,6"
2502102,Boa Vista,959,182,59,11,11,1,"98,4"
2502151,Bom Jesus,489,87,30,9,5,1,99
2502201,Bom Sucesso,568,166,46,10,4,1,"96,4"
2502300,Bonito de Santa Fé,1797,246,112,21,19,1,"96,3"
2502409,Boqueirão,2777,631,179,51,31,2,96
2502508,Borborema,929,138,69,14,10,1,"98,2"
2502607,Brejo do Cruz,1827,332,98,26,12,3,"97,2"
2502706,Brejo dos Santos,820,172,61,16,10,1,"96,7"
2502805,Caaporã,4166,884,175,47,18,3,"98,1"
2502904,Cabaceiras,768,185,44,10,5,1,"99,7"
2503001,Cabedelo,6889,1891,406,215,35,10,"97,3"
2503100,Cachoeira dos Índios,1456,340,88,28,7,1,"95,8"
2503209,Cacimba de Areia,478,112,30,9,5,1,"93,4"
2503308,Cacimba de Dentro,2589,744,150,41,25,2,"97,2"
2503407,Cacimbas,1641,171,104,13,10,1,"96,4"
2503506,Caiçara,1047,213,63,13,10,1,"97,7"
2503555,Cajazeiras,8853,2865,487,268,51,12,"97,2"
2503605,Cajazeirinhas,491,91,36,11,8,1,"96,8"
2503704,Caldas Brandão,866,222,71,19,11,2,"96,4"
2503753,Camalaú,982,196,61,16,8,1,"96,8"
2503803,Campina Grande,53596,15152,2679,1372,286,65,"97,6"
2503902,Capim,1175,276,61,15,7,1,"95,6"
2504009,Caraúbas,555,139,45,13,9,1,"98,3"
2504033,Carrapateira,368,106,22,9,3,1,"98,4"
2504074,Casserengue,1165,278,67,12,8,1,"98,2"
2504108,Catingueira,684,145,40,13,3,1,"97,1"
2504157,Catolé do Rocha,4297,1224,234,132,25,8,98
2504207,Caturité,824,199,73,27,8,1,"99,5"
2504306,Conceição,2785,836,206,58,42,3,"95,7"
2504355,Condado,993,208,50,16,6,1,"97,1"
2504405,Conde,4714,1009,239,54,31,2,"95,6"
2504504,Congo,748,225,57,22,8,1,"98,6"
2504603,Coremas,2165,469,120,39,20,2,"94,6"
2504702,Coxixola,227,52,27,12,8,1,"98,2"
2504801,Cruz do Espírito Santo,2882,617,183,62,23,3,"96,1"
2504850,Cubati,1196,241,54,22,12,1,"98,3"
2504900,Cuité,2739,997,165,72,21,4,"98,3"
2505006,Cuité de Mamanguape,1225,317,72,20,12,1,"98,4"
2505105,Cuitegi,952,238,58,22,9,1,"96,5"
2505204,Curral de Cima,867,166,62,12,12,1,"97,3"
2505238,Curral Velho,307,73,24,8,3,1,"99,1"
2505279,Damião,816,194,46,17,8,1,"97,4"
2505303,Desterro,1309,441,77,25,11,1,"97,6"
2505352,Diamante,901,192,74,21,12,1,"95,4"
2505402,Dona Inês,1594,455,66,21,20,1,"98,1"
2505501,Duas Estradas,650,115,51,16,9,1,"97,1"
2505600,Emas,541,122,36,9,5,1,"99,5"
2505709,Esperança,4805,1278,249,129,31,6,"97,3"
2505808,Fagundes,1927,425,152,36,33,1,"97,6"
2505907,Frei Martinho,357,65,17,10,2,1,100
2506004,Gado Bravo,1278,338,93,18,33,1,"96,8"
2506103,Guarabira,8928,2845,490,227,53,10,"95,7"
2506202,Gurinhém,2106,515,141,26,20,1,"97,2"
2506251,Gurjão,436,124,26,12,5,1,"98,3"
2506301,Ibiara,740,183,49,12,9,1,"96,1"
2506400,Igaracy,886,242,64,21,13,1,"97,9"
2506509,Imaculada,1948,350,117,29,17,2,"97,9"
2506608,Ingá,2841,533,194,46,25,3,"97,7"
2506707,Itabaiana,3431,1076,207,90,22,6,"96,7"
2506806,Itaporanga,3507,1101,202,88,22,7,97
2506905,Itapororoca,2791,596,176,42,24,2,"97,1"
2507002,Itatuba,1641,334,91,21,13,1,"95,6"
2507101,Jacaraú,2707,567,140,30,22,2,"97,7"
2507200,Jericó,1033,215,80,23,13,1,"98,1"
2507309,João Pessoa,94355,28075,4942,2033,350,112,"96,9"
2507408,Juarez Távora,373,64,23,12,2,1,"98,5"
2507507,Juazeirinho,1220,258,75,19,13,1,"97,8"
2507606,Junco do Seridó,2871,454,163,41,21,2,"97,8"
2507705,Juripiranga,903,157,73,16,6,1,"96,2"
2507804,Juru,1959,476,95,30,10,1,"97,5"
2507903,Lagoa,1309,196,75,13,7,1,"97,2"
2508000,Lagoa de Dentro,629,118,48,12,8,1,"93,8"
2508109,Lagoa Seca,1238,250,82,18,14,1,"97,6"
2508208,Lastro,4005,536,225,35,35,1,"97,4"
2508307,Livramento,486,113,37,9,7,1,"98,1"
2508406,Logradouro,1258,295,87,20,20,1,"97,3"
2508505,Lucena,624,119,47,12,4,1,"98,6"
2508554,Mãe d'Água,2432,446,152,29,15,1,"94,4"
2508604,Malta,544,109,37,12,6,1,"96,4"
2508703,Mamanguape,869,191,44,15,5,1,"96,7"
2508802,Manaíra,7273,1924,381,160,46,8,"96,5"
2508901,Marcação,1789,283,106,22,27,1,"95,8"
2509008,Mari,1620,236,130,37,16,3,"97,8"
2509057,Marizópolis,3110,548,164,37,26,2,"98,7"
2509107,Massaranduba,913,125,66,18,6,1,"97,3"
2509156,Mataraca,1888,541,121,38,19,2,"98,5"
2509206,Matinhas,1645,375,79,19,6,1,98
2509305,Mato Grosso,862,186,62,23,15,2,"96,9"
2509339,Maturéia,347,70,27,5,9,1,"94,4"
2509370,Mogeiro,1071,290,47,16,5,1,"98,4"
2509396,Montadas,2192,537,122,34,25,1,"98,6"
2509404,Monte Horebe,1001,252,52,17,7,1,97
2509503,Monteiro,725,97,50,14,6,1,"98,5"
2509602,Mulungu,4665,1284,220,132,20,7,"97,5"
2509701,Natuba,1374,359,114,26,18,1,"98,2"
2509800,Nazarezinho,1335,220,96,18,22,1,"99,3"
2509909,Nova Floresta,1070,210,56,17,10,1,"96,5"
2510006,Nova Olinda,1441,229,75,25,9,1,"96,7"
2510105,Nova Palmeira,959,175,63,13,7,1,"97,4"
2510204,Olho d'Água,529,134,39,22,3,1,"99,1"
2510303,Olivedos,1004,249,75,19,16,1,98
2510402,Ouro Velho,524,153,45,13,13,1,"98,8"
2510501,Parari,371,56,24,8,4,1,"92,3"
2510600,Passagem,246,49,24,9,7,1,"99,5"
2510659,Patos,329,73,30,7,4,1,"97,7"
2510709,Paulista,14105,4311,690,352,70,19,"97,8"
2510808,Pedra Branca,1513,359,81,22,14,1,96
2510907,Pedra Lavrada,591,152,48,15,8,1,"97,9"
2511004,Pedras de Fogo,930,212,49,21,4,2,"98,8"
2511103,Pedro Régis,4762,709,229,61,29,2,"96,8"
2511202,Piancó,816,140,64,14,9,1,"99,1"
2511301,Picuí,2057,543,171,54,16,4,"97,4"
2511400,Pilar,2794,982,139,101,12,5,"97,7"
2511509,Pilões,2015,317,138,21,16,1,"97,2"
2511608,Pilõezinhos,1415,343,79,24,13,1,"97,5"
2511707,Pirpirituba,797,225,37,17,10,1,96
2511806,Pitimbu,1376,276,98,26,14,2,"96,6"
2511905,Pocinhos,2528,394,153,32,21,2,"97,3"
2512002,Poço Dantas,2859,472,122,22,19,1,"98,2"
2512036,Poço de José de Moura,762,174,63,12,11,1,"98,4"
2512077,Pombal,545,139,46,15,6,1,"98,5"
2512101,Prata,4431,1177,249,103,39,5,"95,4"
2512200,Princesa Isabel,588,99,41,13,4,1,"98,9"
2512309,Puxinanã,2409,737,122,75,15,3,"95,7"
2512408,Queimadas,2067,487,116,58,17,3,"98,4"
2512507,Quixabá,6662,1461,404,106,59,3,"96,6"
2512606,Remígio,273,51,21,6,4,1,99
2512705,Riachão,3056,686,153,48,20,2,"97,1"
2512721,Riachão do Bacamarte,481,141,38,11,5,1,"98,8"
2512747,Riachão do Poço,693,250,63,23,10,1,"96,9"
2512754,Riacho de Santo Antônio,770,192,46,11,8,1,"97,4"
2512762,Riacho dos Cavalos,369,66,28,10,5,1,98
2512788,Rio Tinto,1014,186,65,16,20,1,"97,1"
2512804,Salgadinho,3350,574,218,75,30,5,"97,6"
2512903,Salgado de São Félix,546,137,38,11,6,1,"97,6"
2513000,Santa Cecília,1886,386,132,48,21,4,"97,3"
2513109,Santa Cruz,1093,280,59,18,17,1,"98,5"
2513158,Santa Helena,760,149,47,22,6,1,"96,5"
2513208,Santa Inês,801,171,58,24,8,2,"98,5"
2513307,Santa Luzia,481,82,44,9,13,1,"96,2"
2513356,Santa Rita,1892,537,110,45,13,2,"97,8"
2513406,Santa Teresinha,20304,5196,1028,341,120,18,"96,3"
2513505,Santana de Mangueira,594,168,54,15,10,1,"98,8"
2513604,Santana dos Garrotes,759,156,74,20,14,1,"94,5"
2513653,Santarém,1002,246,71,13,8,1,"96,2"
2513703,Santo André,348,105,23,10,1,1,"99,1"
2513802,São Bentinho,544,111,43,10,6,1,"97,8"
2513851,São Bento,4929,1159,238,67,29,4,"95,3"
2513901,São Domingos,370,61,24,10,5,1,94
2513927,São Domingos do Cariri,363,75,33,17,3,2,"97,3"
2513943,São Francisco,433,98,22,8,2,1,"96,9"
2513968,São João do Cariri,534,140,69,17,8,1,"98,3"
2513984,São João do Rio do Peixe,2298,388,163,45,24,3,"98,7"
2514008,São João do Tigre,712,135,53,11,7,1,"96,1"
2514107,São José da Lagoa Tapada,1129,189,65,16,10,1,"93,5"
2514206,São José de Caiana,975,205,67,24,10,1,"97,2"
2514305,São José de Espinharas,595,155,54,19,6,1,"96,3"
2514404,São José de Piranhas,2723,479,154,35,27,2,"97,5"
2514453,São José de Princesa,422,90,34,12,6,1,"96,3"
2514503,São José do Bonfim,528,137,30,10,8,1,"96,5"
2514552,São José do Brejo do Cruz,302,66,21,7,3,1,"97,9"
2514602,São José do Sabugi,524,163,42,15,6,1,"98,7"
2514651,São José dos Cordeiros,479,79,34,10,13,1,"98,5"
2514701,São José dos Ramos,841,197,62,19,8,1,"98,1"
2514800,São Mamede,1077,179,62,12,7,1,99
2514909,São Miguel de Taipu,1135,232,91,28,14,2,"97,4"
2515005,São Sebastião de Lagoa de Roça,1590,398,89,30,18,1,"98,4"
2515104,São Sebastião do Umbuzeiro,493,112,31,13,3,1,"96,4"
2515203,Sapé,7161,1925,329,102,56,5,"95,9"
2515302,Seridó,1601,425,99,29,12,1,"97,2"
2515401,Serra Branca,1717,498,110,44,15,3,"98,2"
2515500,Serra da Raiz,426,99,38,13,8,1,"99,6"
2515609,Serra Grande,516,94,29,9,6,1,"95,7"
2515708,Serra Redonda,1059,235,85,25,17,1,97
2515807,Serraria,907,130,50,14,10,1,"96,3"
2515906,Sertãozinho,768,251,59,23,11,1,"97,8"
2515930,Sobrado,1243,288,65,13,14,1,98
2515971,Solânea,3801,954,207,47,27,2,"97,4"
2516003,Soledade,2200,462,134,32,17,1,"98,5"
2516102,Sossêgo,592,143,39,14,5,1,100
2516151,Sousa,9883,2639,553,278,50,15,"97,6"
2516201,Sumé,2194,546,134,55,14,2,"97,5"
2516300,Tacima,1118,284,80,18,11,1,97
2516409,Taperoá,2233,408,150,44,19,2,"96,8"
2516508,Tavares,2049,403,124,36,12,2,"98,3"
2516607,Teixeira,2517,435,121,30,21,2,"97,3"
2516706,Tenório,491,69,29,10,2,1,"95,7"
2516755,Triunfo,1112,235,78,19,17,1,"98,8"
2516805,Uiraúna,2122,458,152,38,23,2,"97,8"
2516904,Umbuzeiro,1315,388,80,26,17,1,"99,4"
2517001,Várzea,351,108,21,10,4,1,"99,5"
2517100,Vieirópolis,579,133,40,10,5,1,"98,6"
2517209,Vista Serrana,505,151,30,14,7,1,"92,9"
2517407,Zabelê,361,58,17,10,1,1,"97,3"
