Codigo,Municipio,Total,Urbana,Rural,Total,Urbana,Rural,Area,densidade
2500106,Água Branca,9449,4061,5480,1,"0,42","0,58","236,6","39,94"
2500205,Aguiar,5530,2701,2876,1,"0,48","0,52","344,7","16,04"
2500304,Alagoa Grande,28479,17531,11107,1,"0,61","0,39","320,6","88,84"
2500403,Alagoa Nova,19681,9794,10037,1,"0,49","0,51","122,3","160,98"
2500502,Alagoinha,13576,9034,4616,1,"0,66","0,34",97,"139,99"
2500536,Alcantil,5239,2064,3196,1,"0,39","0,61","305,4","17,16"
2500577,Algodão de Jandaíra,2366,1231,1136,1,"0,52","0,48","220,2","10,74"
2500601,Alhandra,18007,11153,7023,1,"0,61","0,39","182,7","98,58"
2500700,Amparo,2088,1062,1044,1,"0,5","0,5",122,"17,12"
2500734,Aparecida,7676,3638,4068,1,"0,47","0,53","295,7","25,96"
2500775,Araçagi,17224,6804,10507,1,"0,39","0,61","231,2","74,51"
2500809,Arara,12653,8924,3796,1,"0,7","0,3","99,1","127,66"
2500908,Araruna,18879,9328,9628,1,"0,49","0,51","245,7","76,83"
2501005,Areia,23829,14598,9293,1,"0,61","0,39","269,5","88,42"
2501104,Areia de Baraúnas,1927,1017,925,1,"0,52","0,48","96,3",20
2501153,Areial,6470,4600,1876,1,"0,71","0,29","33,1","195,22"
2501203,Aroeiras,19082,9531,9732,1,"0,49","0,51","374,7","50,93"
2501302,Assunção,3522,2846,704,1,"0,8","0,2","126,4","27,86"
2501351,Baía da Traição,8012,3092,4967,1,"0,38","0,62","102,4","78,27"
2501401,Bananeiras,21851,8668,13329,1,"0,39","0,61","257,9","84,72"
2501500,Baraúna,4220,3187,1055,1,"0,75","0,25","50,6","83,43"
2501534,Barra de Santa Rosa,14157,7956,6229,1,"0,56","0,44","775,7","18,25"
2501575,Barra de Santana,8206,731,7550,1,"0,08","0,92","376,9","21,77"
2501609,Barra de São Miguel,5611,2364,3254,1,"0,42","0,58","595,2","9,43"
2501708,Bayeux,99716,98793,997,1,"0,99","0,01",32,"3118,76"
2501807,Belém,17093,14112,3077,1,"0,82","0,18","100,2","170,67"
2501906,Belém do Brejo do Cruz,7143,5260,1929,1,"0,73","0,27",603,"11,84"
2502003,Bernardino Batista,3075,858,2245,1,"0,27","0,73","50,6","60,74"
2502052,Boa Ventura,5751,3522,2243,1,"0,61","0,39","170,6","33,71"
2502102,Boa Vista,6227,3208,3051,1,"0,51","0,49","476,5","13,07"
2502151,Bom Jesus,2400,988,1416,1,"0,41","0,59","47,6","50,39"
2502201,Bom Sucesso,5035,2030,3021,1,"0,4","0,6","184,1","27,35"
2502300,Bonito de Santa Fé,10804,7399,3457,1,"0,68","0,32","228,3","47,32"
2502409,Boqueirão,16888,12006,4898,1,"0,71","0,29",372,"45,4"
2502508,Borborema,5111,3732,1380,1,"0,73","0,27",26,"196,74"
2502607,Brejo do Cruz,13123,9898,3281,1,"0,75","0,25","398,9","32,9"
2502706,Brejo dos Santos,6198,4634,1611,1,"0,74","0,26","93,8","66,05"
2502805,Caaporã,20362,17548,2851,1,"0,86","0,14","150,2","135,6"
2502904,Cabaceiras,5035,2217,2820,1,"0,44","0,56","452,9","11,12"
2503001,Cabedelo,57944,57936,579,1,"0,99","0,01","31,9","1815,57"
2503100,Cachoeira dos Índios,9546,3403,6205,1,"0,35","0,65","193,1","49,44"
2503209,Cacimba de Areia,3557,1674,1885,1,"0,47","0,53","220,4","16,14"
2503308,Cacimba de Dentro,16748,9158,7704,1,"0,54","0,46","163,7","102,32"
2503407,Cacimbas,6814,1641,5179,1,"0,24","0,76","126,5","53,85"
2503506,Caiçara,7220,5190,2094,1,"0,71","0,29","127,9","56,44"
2503555,Cajazeiras,58446,47501,11105,1,"0,81","0,19","565,9","103,28"
2503605,Cajazeirinhas,3033,1000,2062,1,"0,32","0,68","287,9","10,54"
2503704,Caldas Brandão,5637,3224,2424,1,"0,57","0,43","55,9","100,92"
2503753,Camalaú,5749,2887,2875,1,"0,5","0,5","543,7","10,57"
2503803,Campina Grande,385213,367209,19261,1,"0,95","0,05","594,2","648,31"
2503902,Capim,5601,4106,1512,1,"0,73","0,27","78,2","71,66"
2504009,Caraúbas,3899,1517,2417,1,"0,38","0,62","497,2","7,84"
2504033,Carrapateira,2378,1713,666,1,"0,72","0,28","54,5","43,61"
2504074,Casserengue,7058,3458,3670,1,"0,48","0,52","201,4","35,05"
2504108,Catingueira,4812,2884,1973,1,"0,59","0,41","529,5","9,09"
2504157,Catolé do Rocha,28759,21323,7477,1,"0,74","0,26","552,1","52,09"
2504207,Caturité,4543,1024,3544,1,"0,22","0,78","118,1","38,47"
2504306,Conceição,18363,11433,6978,1,"0,62","0,38","579,4","31,69"
2504355,Condado,6584,4562,2041,1,"0,69","0,31","280,9","23,44"
2504405,Conde,21400,14487,7062,1,"0,67","0,33","172,9","123,74"
2504504,Congo,4687,2942,1781,1,"0,62","0,38","333,5","14,06"
2504603,Coremas,15149,11419,3787,1,"0,75","0,25","379,5","39,92"
2504702,Coxixola,1771,782,992,1,"0,44","0,56","169,9","10,43"
2504801,Cruz do Espírito Santo,16257,7440,8941,1,"0,45","0,55","195,6","83,12"
2504850,Cubati,6866,4769,2128,1,"0,69","0,31",137,"50,13"
2504900,Cuité,19978,13462,6593,1,"0,67","0,33","741,8","26,93"
2505006,Cuité de Mamanguape,6202,2069,4155,1,"0,33","0,67","108,4","57,19"
2505105,Cuitegi,6889,5608,1309,1,"0,81","0,19","39,3","175,29"
2505204,Curral de Cima,5209,473,4740,1,"0,09","0,91","85,1","61,21"
2505238,Curral Velho,2505,1410,1102,1,"0,56","0,44",223,"11,24"
2505279,Damião,4900,2278,2646,1,"0,46","0,54","185,7","26,39"
2505303,Desterro,7991,4889,3116,1,"0,61","0,39","179,4","44,55"
2505352,Diamante,6616,3818,2845,1,"0,57","0,43","269,1","24,58"
2505402,Dona Inês,10517,4655,5890,1,"0,44","0,56","166,2","63,29"
2505501,Duas Estradas,3638,2839,800,1,"0,78","0,22","26,3","138,53"
2505600,Emas,3317,2132,1194,1,"0,64","0,36","240,9","13,77"
2505709,Esperança,31095,21631,9639,1,"0,69","0,31","163,8","189,86"
2505808,Fagundes,11405,5465,6045,1,"0,47","0,53",189,"60,34"
2505907,Frei Martinho,2933,1807,1144,1,"0,61","0,39","244,3",12
2506004,Gado Bravo,8376,908,7538,1,"0,1","0,9","192,4","43,53"
2506103,Guarabira,55326,48960,6639,1,"0,88","0,12","165,7","333,81"
2506202,Gurinhém,13872,5795,8184,1,"0,41","0,59","346,1","40,08"
2506251,Gurjão,3159,2128,1042,1,"0,67","0,33","343,2","9,2"
2506301,Ibiara,6031,3686,2352,1,"0,61","0,39","244,5","24,67"
2506400,Igaracy,6156,4121,2093,1,"0,66","0,34","192,3","32,02"
2506509,Imaculada,11352,5063,6357,1,"0,44","0,56",317,"35,81"
2506608,Ingá,18180,11599,6727,1,"0,63","0,37",288,"63,13"
2506707,Itabaiana,24481,19731,4896,1,"0,8","0,2","218,8","111,86"
2506806,Itaporanga,23192,17629,5566,1,"0,76","0,24","468,1","49,55"
2506905,Itapororoca,16997,10856,6289,1,"0,63","0,37","146,1","116,37"
2507002,Itatuba,10201,5955,4284,1,"0,58","0,42","244,2","41,77"
2507101,Jacaraú,13942,8032,5995,1,"0,57","0,43",253,"55,1"
2507200,Jericó,7538,4729,2864,1,"0,62","0,38","179,3","42,04"
2507309,João Pessoa,723515,720785,7235,1,"0,99","0,01","211,5","3421,3"
2507408,Juarez Távora,7459,5852,1641,1,"0,78","0,22","70,8","105,29"
2507507,Juazeirinho,16776,9124,7717,1,"0,54","0,46","467,5","35,88"
2507606,Junco do Seridó,6643,4369,2325,1,"0,65","0,35","170,4","38,98"
2507705,Juripiranga,10237,9586,717,1,"0,93","0,07","78,8","129,84"
2507804,Juru,9826,4359,5503,1,"0,44","0,56","403,3","24,37"
2507903,Lagoa,4681,2304,2387,1,"0,49","0,51","177,9","26,31"
2508000,Lagoa de Dentro,7370,3975,3464,1,"0,53","0,47","84,5","87,21"
2508109,Lagoa Seca,25900,10570,15540,1,"0,4","0,6","107,6","240,73"
2508208,Lastro,2841,1335,1534,1,"0,46","0,54","102,7","27,67"
2508307,Livramento,7164,3752,3439,1,"0,52","0,48","260,2","27,53"
2508406,Logradouro,3942,1723,2247,1,"0,43","0,57",38,"103,75"
2508505,Lucena,11730,10152,1642,1,"0,86","0,14","88,9","131,88"
2508554,Mãe d'Água,4019,1569,2452,1,"0,39","0,61","243,8","16,49"
2508604,Malta,5613,4905,730,1,"0,87","0,13","156,2","35,93"
