Codigo,municipio,pessoal_ocupado,salario_medio,percentual_populacao_ocupada,percentual_pobreza
2500106,Água Branca,803,"1,5","7,9","53,1"
2500205,Aguiar,429,"1,4","7,7","50,1"
2500304,Alagoa Grande,2183,"1,7","7,6","50,8"
2500403,Alagoa Nova,2212,"1,4","10,7","51,8"
2500502,Alagoinha,741,"1,9","5,2","49,9"
2500536,Alcantil,441,"1,5","8,1","49,5"
2500577,Algodão de Jandaíra,353,"1,6","14,2","52,6"
2500601,Alhandra,3725,"2,4","19,2","49,3"
2500700,Amparo,339,"1,4","15,2","50,8"
2500734,Aparecida,545,"1,8","6,5","50,4"
2500775,Araçagi,1031,"1,6",6,"54,8"
2500809,Arara,739,"1,6","5,5","50,1"
2500908,Araruna,1439,"1,7","7,1","52,3"
2501005,Areia,1780,"1,7","7,7","51,4"
2501104,Areia de Baraúnas,271,"1,5","12,7","50,6"
2501153,Areial,521,"1,7","7,5","49,1"
2501203,Aroeiras,1244,"1,5","6,5","54,8"
2501302,Assunção,364,"1,6","9,4","46,1"
2501351,Baía da Traição,763,"1,4","8,5","55,1"
2501401,Bananeiras,1635,"1,6","7,7","54,7"
2501500,Baraúna,364,"1,7","7,5","54,1"
2501534,Barra de Santa Rosa,881,"1,8","5,8","53,8"
2501575,Barra de Santana,574,"1,8",7,53
2501609,Barra de São Miguel,407,"1,6","6,9","45,7"
2501708,Bayeux,9815,"1,9","10,2","43,2"
2501807,Belém,1734,"1,4","9,8","50,3"
2501906,Belém do Brejo do Cruz,494,"1,8","6,7","54,8"
2502003,Bernardino Batista,348,"1,9","10,3","53,9"
2502052,Boa Ventura,59,"1,2","1,1","50,8"
2502102,Boa Vista,1125,"1,7","16,1","43,7"
2502151,Bom Jesus,269,"1,5","10,6","48,6"
2502201,Bom Sucesso,399,"1,5",8,"49,9"
2502300,Bonito de Santa Fé,777,"1,6","6,6","50,8"
2502409,Boqueirão,1374,"1,7","7,7",44
2502508,Borborema,325,"1,7",6,"51,5"
2502607,Brejo do Cruz,907,"1,8","6,5","50,5"
2502706,Brejo dos Santos,419,"1,6","6,5","50,1"
2502805,Caaporã,4131,"1,9",19,"48,9"
2502904,Cabaceiras,376,"1,8","6,8","46,8"
2503001,Cabedelo,22130,"2,8","33,2","39,2"
2503100,Cachoeira dos Índios,599,"1,8","5,9","50,6"
2503209,Cacimba de Areia,350,"1,4","9,4","50,9"
2503308,Cacimba de Dentro,815,"1,8","4,7","52,2"
2503407,Cacimbas,507,"1,7","7,1","52,7"
2503506,Caiçara,449,"1,7","6,2","50,1"
2503555,Cajazeiras,9514,"1,9","15,4","43,1"
2503605,Cajazeirinhas,272,2,"8,6",54
2503704,Caldas Brandão,671,"1,4","11,2","48,1"
2503753,Camalaú,462,"1,6","7,7","51,9"
2503803,Campina Grande,110075,"2,2",27,"39,5"
2503902,Capim,617,"1,6","9,6","52,1"
2504009,Caraúbas,333,"1,6",8,"45,4"
2504033,Carrapateira,250,2,"9,5","55,9"
2504074,Casserengue,450,"1,7","6,1","58,5"
2504108,Catingueira,447,"1,6","9,1",52
2504157,Catolé do Rocha,3820,"1,6","12,6","45,2"
2504207,Caturité,538,"1,8","11,2","46,3"
2504306,Conceição,1644,"1,6","8,7",53
2504355,Condado,399,"1,8",6,"49,8"
2504405,Conde,5060,"1,9","20,8",48
2504504,Congo,446,"1,5","9,3","50,6"
2504603,Coremas,970,"1,8","6,3","51,8"
2504702,Coxixola,190,2,10,"46,3"
2504801,Cruz do Espírito Santo,1297,"1,7","7,5","52,3"
2504850,Cubati,540,"1,7",7,"51,2"
2504900,Cuité,1524,"1,7","7,5","50,2"
2505006,Cuité de Mamanguape,450,"1,6","7,1","52,2"
2505105,Cuitegi,589,"1,4","8,6","49,6"
2505204,Curral de Cima,407,"1,8","7,8","55,5"
2505238,Curral Velho,172,"1,6","6,8","51,2"
2505279,Damião,373,"1,8","7,1","56,8"
2505303,Desterro,524,"1,5","6,3","52,2"
2505352,Diamante,420,"1,6","6,4","54,8"
2505402,Dona Inês,508,"2,2","4,9","55,6"
2505501,Duas Estradas,374,"1,7","10,4","51,4"
2505600,Emas,325,"1,8","9,3","47,9"
2505709,Esperança,4397,"1,6","13,3","47,3"
2505808,Fagundes,615,"1,9","5,4","52,4"
2505907,Frei Martinho,291,"1,7","9,7","45,9"
2506004,Gado Bravo,493,"1,8","5,8","57,3"
2506103,Guarabira,10623,"1,5","18,2","42,9"
2506202,Gurinhém,1036,"1,6","7,3","50,6"
2506251,Gurjão,369,"1,4","10,8","47,5"
2506301,Ibiara,410,"1,7","6,9","54,5"
2506400,Igaracy,483,"1,5","7,8",53
2506509,Imaculada,575,"1,9","4,9","52,9"
2506608,Ingá,1903,"1,5","10,5","49,3"
2506707,Itabaiana,2284,"1,7","9,3","48,6"
2506806,Itaporanga,3010,"1,6","12,2","45,5"
2506905,Itapororoca,1149,"1,6","6,2","52,5"
2507002,Itatuba,839,"1,8","7,8","50,3"
2507101,Jacaraú,1317,"1,7","9,2","51,9"
2507200,Jericó,545,"1,5",7,"49,7"
2507309,João Pessoa,288866,"2,8","36,1","36,4"
2507408,Joca Claudino,321,"1,7",12,50
2507507,Juarez Távora,535,"1,8","6,8","48,7"
2507606,Juazeirinho,1557,"1,5","8,6","48,9"
2507705,Junco do Seridó,676,"1,6","9,5","48,8"
2507804,Juripiranga,892,"1,5","8,3","51,2"
2507903,Juru,549,"1,8","5,6","54,5"
2508000,Lagoa,430,"1,3","9,2","55,9"
2508109,Lagoa de Dentro,618,"1,7","8,1","51,9"
2508208,Lagoa Seca,2040,"1,9","7,4","46,2"
2508307,Lastro,309,"1,6","11,2",54
2508406,Livramento,510,"1,6","6,9","53,9"
2508505,Logradouro,302,"1,7",7,"50,8"
2508554,Lucena,2314,"1,6","17,9","51,3"
2508604,Mãe d'Água,389,"1,6","9,7",54
2508703,Malta,452,"1,7","7,8",48
2508802,Mamanguape,6919,"1,8","15,5","47,5"
2508901,Manaíra,571,"1,6","5,1","54,9"
2509008,Marcação,501,"1,6","5,9","54,6"
2509057,Mari,1454,"1,7","6,7","52,8"
