"id_munc";"cod_ibge";"nm_munc";"nm_micro_regiao";"nm_meso_regiao"
1;2500106;"Agua Branca";"Serra do Teixeira";"SERTÃO PARAIBANO"
2;2500205;"Aguiar";"Piancó";"SERTÃO PARAIBANO"
3;2500304;"Alagoa Grande";"Brejo";"AGRESTE PARAIBANO"
4;2500403;"Alagoa Nova";"Brejo";"AGRESTE PARAIBANO"
5;2500502;"Alagoinha";"Guarabira";"AGRESTE PARAIBANO"
6;2500536;"Alcantil";"Cariri Oriental";"BORBOREMA"
7;2500577;"Algodão de Jandaíra";"Curimataú Ocidental";"AGRESTE PARAIBANO"
8;2500601;"Alhandra";"Litoral Sul";"MATA PARAIBANA"
10;2500734;"Amparo";"Cariri Ocidental";"BORBOREMA"
11;2500775;"Aparecida";"Sousa";"SERTÃO PARAIBANO"
12;2500809;"Araçagi";"Guarabira";"AGRESTE PARAIBANO"
13;2500908;"Arara";"Curimataú Ocidental";"AGRESTE PARAIBANO"
14;2501005;"Araruna";"Curimataú Oriental";"AGRESTE PARAIBANO"
15;2501104;"Areia";"Brejo";"AGRESTE PARAIBANO"
16;2501153;"Areia de Baraúnas";"Patos";"SERTÃO PARAIBANO"
17;2501203;"Areial";"Esperança";"AGRESTE PARAIBANO"
18;2501302;"Aroeiras";"Umbuzeiro";"AGRESTE PARAIBANO"
19;2501351;"Assunção";"Cariri Ocidental";"BORBOREMA"
20;2501401;"Baía da Traição";"Litoral Norte";"MATA PARAIBANA"
21;2501500;"Bananeiras";"Brejo";"AGRESTE PARAIBANO"
22;2501534;"Baraúna";"Seridó Oriental";"BORBOREMA"
23;2501575;"Barra de Santana";"Cariri Oriental";"BORBOREMA"
24;2501609;"Barra de Santa Rosa";"Curimataú Ocidental";"AGRESTE PARAIBANO"
25;2501708;"Barra de São Miguel";"Cariri Ocidental";"BORBOREMA"
26;2501807;"Bayeux";"João Pessoa";"MATA PARAIBANA"
27;2501906;"Belém";"Guarabira";"AGRESTE PARAIBANO"
