Data do Óbito,Óbitos novos
2020-05-25,41
2020-06-04,40
2020-06-14,39
2020-06-03,36
2020-06-08,36
2020-05-29,36
2020-06-05,34
2020-06-07,34
2020-05-30,33
2020-06-21,33
2020-05-28,33
2020-05-26,31
2020-05-19,30
2020-05-24,30
2020-06-26,30
2020-06-12,29
2020-06-11,29
2020-06-10,28
2020-07-01,27
2020-05-18,27
2020-05-22,27
2020-07-02,27
2020-05-23,26
2020-05-21,26
2020-05-20,26
2020-06-02,25
2020-06-30,25
2020-05-15,25
2020-05-09,25
2020-06-06,25
2020-06-22,25
2020-06-28,24
2020-07-14,24
2020-08-04,24
2020-05-27,24
2020-06-18,24
2020-06-19,24
2020-06-15,24
2020-05-16,24
2020-06-17,24
2020-06-13,23
2020-06-25,23
2020-05-31,23
2020-08-09,23
2020-06-01,23
2020-06-23,23
2020-07-03,22
2020-07-19,22
2020-06-09,22
2020-05-14,22
2020-07-23,22
2020-05-13,21
2020-07-06,21
2020-07-09,21
2020-07-15,21
2020-08-22,21
2020-08-10,20
2020-05-12,20
2020-05-08,20
2020-08-08,19
2020-08-30,19
2020-07-13,19
2020-05-17,19
2020-06-24,19
2020-07-30,19
2020-07-04,19
2020-07-16,19
2020-08-03,19
2020-07-17,19
2020-06-20,19
2020-06-16,19
2020-07-29,19
2020-08-07,18
2020-07-31,18
2020-08-01,18
2020-07-08,18
2020-05-10,18
2020-06-29,17
2020-07-11,17
2020-07-25,17
2020-06-27,17
2020-09-11,17
2020-07-18,17
2020-08-21,17
2020-08-11,17
2020-07-05,17
2020-07-22,16
2020-07-07,16
2020-05-04,16
2020-07-28,16
2020-08-13,16
2020-08-06,16
2020-08-18,16
2020-09-22,15
2020-08-19,15
2020-07-27,15
2020-07-20,15
2020-07-10,15
2020-07-21,14
2020-08-27,14
2020-05-11,14
2020-07-12,14
2020-07-26,13
2020-05-06,13
2020-09-23,13
2020-07-24,13
2020-09-14,13
2020-09-06,12
2020-10-06,12
2020-08-20,12
2020-09-15,12
2020-08-02,12
2020-05-07,12
2020-05-05,12
2020-08-14,11
2020-09-08,11
2020-08-28,11
2020-08-16,11
2020-09-20,11
2020-08-24,11
2020-08-26,10
2020-09-19,10
2020-08-29,10
2020-09-18,10
2020-08-05,10
2020-09-10,10
2020-09-02,10
2020-08-15,10
2020-09-16,10
2020-08-17,9
2020-10-07,9
2020-09-04,9
2020-08-25,9
2020-09-03,9
2020-04-28,9
2020-09-25,9
2020-10-08,9
2020-08-31,8
2020-09-30,8
2020-09-17,8
2020-10-04,8
2020-09-29,8
2020-08-23,8
2020-09-24,8
2020-05-01,8
2020-10-11,8
2020-09-12,8
2020-10-01,8
2020-09-09,7
2020-04-21,7
2020-10-05,7
2020-04-29,7
2020-08-12,7
2020-04-24,7
2020-09-05,7
2020-05-02,7
2020-04-13,6
2020-09-28,6
2020-09-26,6
2020-09-01,6
2020-10-02,6
2020-09-07,6
2020-10-12,6
2020-05-03,5
2020-09-13,5
2020-10-09,5
2020-04-22,5
2020-04-14,4
2020-04-27,4
2020-04-04,4
2020-04-30,4
2020-10-10,3
2020-09-21,3
2020-10-03,3
2020-04-25,3
2020-04-18,3
2020-04-26,3
2020-09-27,3
2020-04-16,3
2020-04-10,2
2020-04-20,2
2020-04-19,2
2020-03-31,2
2020-03-30,2
2020-04-12,2
2020-03-24,1
2020-04-23,1
2020-04-06,1
2020-04-09,1
2020-04-17,1
2020-10-13,1
2020-03-23,1
2020-04-11,1
2020-04-08,1
